class	region_va	base_va	name	rows	callers	strings
CHANGED	8002DA20	8002D8D0	MenuExtended_LoadGame__FR12tMenuCommand	54		
CHANGED	8002E004	8002DE74	MenuExtended_AwardPinkSlipsCar__FR12tMenuCommand	173		
CHANGED	8002E5D4	8002E3B8	__15tGlobalMenuDefs	3207	Front_ConstructAll__Fv	
CHANGED	80033050	80032E30	UpdateTrackFinishPoints__18tTournamentManager	129	AdvanceToNextTrack__18tTournamentManager	
CHANGED	80034284	8003407C	LoadDescription__15tMissionManagerb	77	Front_InitMissions__FR9tFEStream	
CHANGED	800348A4	800346A4	Init_Memcard__FbT0	90	MainLoop__14tFEApplicationP5tMenu;Front_InitialMemCardCheck__Fv;Front_SecondaryMemCardCheck__Fv;GenericMenuSaveGame__Fi	
CHANGED	80034A0C	80034800	DeInit_Memcard__Fv	42	MainLoop__14tFEApplicationP5tMenu;Front_InitialMemCardCheck__Fv;Front_SecondaryMemCardCheck__Fv;GenericMenuSaveGame__Fi	
CHANGED	80034AB4	800348A0	Init_MemcardFile__FR12MCRDFILE_defsb	32	SaveGame__Fs;LoadGame__FsbT1;SavePinkSlipsCars__Fss	
CHANGED	80034B34	80034988	SaveGame__Fs	298	GenericMenuSaveGame__Fi	
CHANGED	80034FDC	80034E18	LoadGame__FsbT1	388	Front_InitialMemCardCheck__Fv;Front_SecondaryMemCardCheck__Fv;GenericMenuLoadGame__Fi;DoMemCardStuff__25tScreenPinkSlipsCarSelect	
CHANGED	800355EC	800353F0	SavePinkSlipsCars__Fss	236	SavePinkSlipsCarsWithErrorDialogs__Fsss	
CHANGED	80035F88	80035D68	SetupCurrCredit__14tCreditManager	214	Draw__14tCreditManagerb	
CHANGED	80038928	800386C8	PreLoad__11tScreenMain	39		
CHANGED	800389C4	800388D4	Initialize__11tScreenMain	221		
CHANGED	80038DC8	80038B68	DrawBackground__16tScreenPinkSlips	390		
CHANGED	800395E8	80039320	Cleanup__16tScreenPinkSlips	31		
CHANGED	8003ACCC	8003A9D4	DrawCar__FR8tCarInfossffcbUl7tPlayer	125	DrawForeground__16tScreenCarSelect;DrawForeground__16tScreenCarSelect;DrawBackground__20tScreenCarSelectDuel;DrawBackground__20tScreenCarSelectDuel	
CHANGED	8003C2D0	8003BF90	ProcessInput__16tScreenCarSelect7tPlayerR13tInputKeyTypeR12tMenuCommand	111	ProcessInput__25tScreenPinkSlipsCarSelect7tPlayerR13tInputKeyTypeR12tMenuCommand	
CHANGED	8003CB4C	8003C7D8	DrawForeground__16tScreenCarSelect	566		
CHANGED	8003E528	8003E190	DrawVideoWall__25tScreenCarSelectTwoPlayers	104		
CHANGED	8003E6C8	8003E330	GetShapeInfo__25tScreenCarSelectTwoPlayerRsT1PPcT3	58		
CHANGED	8003F1A8	8003EDC0	Initialize__25tScreenCarSelectTwoPlayer	32	Initialize__25tScreenPinkSlipsCarSelect	
CHANGED	8003F32C	8003EF14	DoMemCardStuff__25tScreenPinkSlipsCarSelect	193	DrawBackground__25tScreenPinkSlipsCarSelect	
CHANGED	8003F650	8003F24C	Initialize__25tScreenPinkSlipsCarSelect	28		
CHANGED	8003F9A4	8003F590	ProcessInput__25tScreenPinkSlipsCarSelect7tPlayerR13tInputKeyTypeR12tMenuCommand	58		
CHANGED	8003FA8C	8003F638	GetShapeInfo__25tScreenPinkSlipsCarSelectRsT1PPcT3	30		
CHANGED	80040910	800404D8	DrawForeground__18tScreenTournSelect	42		
CHANGED	80041A48	80041600	DrawBackground__18tScreenTrackSelect	301		
CHANGED	80042B50	80042700	DrawOneRecord__19tScreenTrackRecordsibi	156	DrawRecords__19tScreenTrackRecordss;DrawRecords__19tScreenTrackRecordss	
CHANGED	80047F30	80047AD8	DrawForeground__14tScreenMemcard	67		
CHANGED	800480F8	80047C30	Initialize__14tScreenMemcard	107		
CHANGED	800482A4	80047DD8	Cleanup__14tScreenMemcard	36		
CHANGED	80048384	80047E8C	GetShapeInfo__15tScreenCongratsRsT1PPcT3	148		
CHANGED	80049454	80048F64	DrawCongratsMessage__23tScreenTournamentTrophy	185		
CHANGED	80049A28	8004952C	DrawCongratsMessage__23tScreenBeTheCopCongrats	48		
CHANGED	80049D40	80049840	StatChk_IsRecordLapTime__FP10Car_tStatssPs	207	RunPostGame__14tFEApplication;MenuExtended_FinishedPlayer1GetName__FR12tMenuCommand;MenuExtended_FinishedPlayer2GetName__FR12tMenuCommand	
CHANGED	8004A20C	80049D0C	StatChk_IsTopTime__FP10Car_tStatss	299	RunPostGame__14tFEApplication;MenuExtended_FinishedPlayer1GetName__FR12tMenuCommand;MenuExtended_FinishedPlayer2GetName__FR12tMenuCommand	
CHANGED	8004A6B8	8004A1B8	StatChk_SaveTopTime__FP10Car_tStatss	437	MenuExtended_FinishedPlayer1GetName__FR12tMenuCommand;MenuExtended_FinishedPlayer2GetName__FR12tMenuCommand	
CHANGED	8004ADB8	8004A868	Stattool_nCreateIndex__FiPiPs	77	StatChk_IsRecordLapTime__FP10Car_tStatssPs;StatChk_SaveTopTime__FP10Car_tStatss	
CHANGED	8004B004	8004AAB4	UserNameUpperCaseOneLetter__FPc	72	Stattool_SamNelsonsUpperLowerStringConverterForRecords__FPc;Stattool_SamNelsonsUpperLowerStringConverterForRecords__FPc;StatTool_UpperCaseItKeepingInMindThoseBloodySpecialCharacters__FPc	
CHANGED	8004D23C	8004CCE4	Movie_Play__Fc	136	play_movie__Fc	
REGION-ONLY	8004DD24		func_8004DD24	37	Redraw__14tFEApplication	
CHANGED	8004E130	8004DB34	DoTitleScreen__Fv	66	Init_PSX_FrontEnd__Fv	
CHANGED	8004E238	8004DC34	DoLanguageScreen__Fv	183	Init_PSX_FrontEnd__Fv	
CHANGED	8004E5B0	8004DD0C	Init_RenderingEnvironment__Fv	62	Init_PSX_FrontEnd__Fv;Init_PSX_FrontEnd__Fv	
CHANGED	80051A60	800511B0	videodecode__FP11VIDEOSTRUCTP14STREAMCHUNKHDRii	258	VIDEO_updateframexy__Fiii	
CHANGED	80051E68	800515B8	func_80051E68	6337		
CHANGED	800644B4	80063CC4	HighExecute__10AIHigh_Cop	1464		
CHANGED	8006FEF8	8006F6F8	AIScript_Assign__FP10AIScript_tPA7_25AIScript_tReactionDetails	8	AIPerson_SetPersonality__FP8Car_tObji	
CHANGED	800701BC	8006F9A4	AIState_StartUp__Fv	16	AIHigh_StartUp__Fv	
CHANGED	800701FC	8006F9C4	AIState_Restart__Fv	16	AIHigh_Restart2__Fv	
REGION-ONLY	800702E4		func_800702E4	19	__11AIHigh_BaseP8Car_tObj;HighExecute__18AIHigh_BTC_Wingman;HighExecute__18AIHigh_BTC_Wingman;HighExecute__18AIHigh_BTC_Wingman	
REGION-ONLY	80070330		func_80070330	15	___12AIState_None;___12AIState_Base;___17AIState_NonActive;___12AIState_Base_8005F680	
CHANGED	800754C8	80074BE8	AudioClc_CalcAzimuth__FP17DRender_tCalcViewP8coorddef	96	AudioClc_SoundPlayersCar__Fi;AudioTrk_AddCustomObject__FP9AudioElemiP8coorddefiP8Car_tObji	
CHANGED	8007571C	80074E24	AudioClc_CalcTrackAzimuth__FP17DRender_tCalcViewP8Car_tObj	85		
REGION-ONLY	8007593C		func_8007593C	61	AudioClc_SoundCars__Fv	
CHANGED	80075A30	80075028	AudioClc_SoundCloseCar__Fii	318	AudioClc_SoundCars__Fv;AudioClc_SoundCars__Fv;AudioClc_SoundCars__Fv;AudioClc_SoundCars__Fv	
CHANGED	80075F28	80075508	AudioClc_SoundPlayersCar__Fi	465	AudioClc_SoundCars__Fv;AudioClc_SoundCars__Fv;AudioClc_SoundCars__Fv	
CHANGED	80076B90	80076160	AudioClc_SoundCars__Fv	180	Sim_ProcessSimSchedules__Fv	
CHANGED	80076E60	80076420	AudioCmn_MusicLevel__Fi	14	AudioCmn_Reset__Fv;MPause_MusicLogic__Fc;MPause_MusicLogic__Fc	
CHANGED	80077174	8007675C	AudioCmn_LoadAsyncSfx__FiiPvi	99	CopSpeak_ReadyNextRequest__Fv;CopSpeak_ReadyNextRequest__Fv;CopSpeak_ReadyNextRequest__Fv;CopSpeak_ReadyNextRequest__Fv	
CHANGED	800775EC	80076BEC	AudioCmn_Reset__Fv	196	Nfs2_ResetGame__Fv	
CHANGED	80078AF8	80078140	AudioCmn_PlayDoppleredSound__Fiiiiii	153	AudioCmn_PlaySound__Fiiiii;AudioCmn_PlaySFX__Fiiiiii;AudioCmn_PlaySFX__Fiiiiii	
CHANGED	80078D88	800783CC	AudioCmn_PlaySFX__Fiiiiii	343	AudioClc_SoundOpponentHorn__Fiiii;AudioCmn_SFX__Fi6s_typeT1iii;AudioCmn_SFX__Fi6s_typeT1iii;AudioCmn_SFX__Fi6s_typeT1iii	
CHANGED	800792E4	800788BC	AudioCmn_SoundCar__FP8Car_tObjiiiiiii	540		
CHANGED	80079B54	80079104	AudioCmn_TrafficSFX__Fiiiiiiii	177	AudioClc_SoundPlayersCar__Fi	
CHANGED	8007A6A0	80079C18	AudioCmn_UnPause__Fv	28	Sim_ProcessPause__Fv;Sim_MainGameLoop__Fv	
CHANGED	8007AC48	8007A1DC	AudioMus_Fail__Fi	39	AudioMus_Server__Fii;AudioMus_Server__Fii;AudioMus_Server__Fii	
CHANGED	8007ACE4	8007A258	AudioMus_QueueRequestedSong__Fv	40	AudioMus_Server__Fii;AudioMus_Server__Fii;AudioMus_PlaySong__FPc	
CHANGED	8007AE4C	8007A3D0	AudioMus_Server__Fii	242		
CHANGED	8007BF3C	8007B5A8	AudioEng_Set__Fiiiiiiii	164	AudioCmn_SoundCar__FP8Car_tObjiiiiiii	
CHANGED	8007E71C	8007DD74	SetupChunkBuildList__FP13DRender_tView	224	BWorld_OnyxBuildFacets__FP13DRender_tView	
CHANGED	8007EEA8	8007E4AC	BWorld_OpenContext__Fii	56	BWorld_Init__Fv;BWorld_Init__Fv	
CHANGED	8007EFEC	8007E5C8	BWorld_Init__Fv	187	Nfs2_GameModuleStartUp__FPi	
CHANGED	80085A2C	80085008	Camera_GetViewInfo__FiP17DRender_tCalcViewi	206	Camera_SetCamera__FP13DRender_tView	
CHANGED	8008A304	800898DC	Car_DoPostCollisionStuff__FP8Car_tObj	180		
CHANGED	8008BE8C	8008B3FC	InstanceGroup__5ChunkP15SerializedGroupP9SimpleMem	354	Track_Init__FPc	
CHANGED	80098F28	80098434	Lose__Q26Speech13MobileSpeaker	209		
CHANGED	8009A0D4	800995F0	CopSpeak_InitRequest__FP17CopSpeak_tRequest	13	AudioCmn_GetAsyncSfx__Fiib;AudioCmn_CheckState__FP8Car_tObj;CopSpeak_InitVars__Fv;CopSpeak_DirectRequest__FillP8Car_tObjPc	
CHANGED	8009A16C	80099684	CopSpeak_Alloc__FP17CopSpeak_tRequest	32	CopSpeak_LoadNextRequest__Fv	
CHANGED	8009A1EC	8009971C	CopSpeak_Free__FP17CopSpeak_tRequest	45	CopSpeak_ReadyNextRequest__Fv	
CHANGED	8009A2A0	800997AC	CopSpeak_ReadyNextRequest__Fv	176		
REGION-ONLY	8009A5B0		func_8009A5B0	44	AudioCmn_Reset__Fv;AudioCmn_UnPauseAndRestart__Fv;CopSpeak_Stop__Fv	
CHANGED	8009A714	80099B70	CopSpeak_InitVars__Fv	32	CopSpeak_StartUp__Fv	
CHANGED	8009A794	80099BEC	CopSpeak_DirectRequest__FillP8Car_tObjPc	49	SubmitRequest__6Speechlll	
CHANGED	8009A858	80099C98	CopSpeak_GenericBankRequest__FiP8Car_tObj	47	SubmitRequest__6Speechlll	
CHANGED	8009B0A0	8009A4C8	CopSpeak_Request__FP17CopSpeak_tRequest	84	AudioCmn_GetAsyncSfx__Fiib;AudioCmn_CheckState__FP8Car_tObj;AudioCmn_CheckState__FP8Car_tObj;AudioCmn_CheckState__FP8Car_tObj	
CHANGED	8009B220	8009A634	CopSpeak_LoadNextRequest__Fv	135		
CHANGED	8009B43C	8009A828	CopSpeak_PlayNextRequest__Fv	81		
REGION-ONLY	8009B580		func_8009B580	192	AudioClc_SoundSpeech__Fv;AudioCmn_Reset__Fv;AudioTrk_PreLoad__Fv	
CHANGED	8009C7CC	8009BD9C	GameSetup_StartUp__FPi	263	Nfs2_GameModuleStartUp__FPi	
CHANGED	8009EEB0	8009E3E8	MPause_MusicLogic__Fc	192	MPause_Logic__Fv	
CHANGED	800A3994	800A2E84	Newton_TestForUndrivableSurfaces__FP13BO_tNewtonObj	492	Collide_CheckMeForCollisions__FP13BO_tNewtonObj	
CHANGED	800A4A70	800A3F08	NFS4_LoadPerps__Fv	172	Nfs2_GameModuleStartUp__FPi	
CHANGED	800A52A8	800A4730	main	237	__SN_ENTRY_POINT	
CHANGED	800A5DD0	800A5258	Object_KillStatus__Fv	28	BWorld_Restart__Fv;BWorld_DeInit__Fv	
REGION-ONLY	800A778C		func_800A778C	14	Track_Init__FPc	
REGION-ONLY	800A77C4		func_800A77C4	9	Track_DeInit__Fv	
REGION-ONLY	800A77E8		func_800A77E8	10		
REGION-ONLY	800A7810		func_800A7810	6		
REGION-ONLY	800A7828		func_800A7828	8	Object_CheckCollisionResults__FP18Object_tSimObjListiP13BO_tNewtonObj	
REGION-ONLY	800A7848		func_800A7848	8	___23ObjectFinishedMultiAnim	
REGION-ONLY	800A7868		func_800A7868	8	Object_CheckCollisionResults__FP18Object_tSimObjListiP13BO_tNewtonObj	
REGION-ONLY	800A7888		func_800A7888	8	___22ObjectFinishedSignAnim	
CHANGED	800ACDFC	800AC164	Physics_Real__FP8Car_tObj	1273	Physics_SimCar__FP8Car_tObj	
CHANGED	800B086C	800AFBD0	R3DCar_InsertCarFacet__FP8Car_tObjP13DRender_tView	1153	R3DCar_InsertCarFacetZ__FP8Car_tObjP13DRender_tView	
CHANGED	800B2E34	800B2174	R3DCar_InsertCarFacetII__FP8Car_tObj	382	R3DCar_InsertAllListFacet__FP13DRender_tView	
CHANGED	800B3D78	800B30AC	Render_CreatePlayerViews__Fv	59	Render_CreateViews__Fv	
CHANGED	800B3F84	800B32B8	Render_RenderWorld__FP13DRender_tView	41	Render_RenderPlayerView__Fii	
CHANGED	800B4174	800B34A8	Render_Render__Fi	82	Sim_MainGameLoop__Fv	
CHANGED	800B43C8	800B36F4	Render_InitTrackRender__Fv	46	Nfs2_GameModuleStartUp__FPi	
CHANGED	800B46D8	800B3A04	Render_InitBlurMode__Fv	27	Render_InitTrackRender__Fv	
CHANGED	800B92DC	800B8604	Stats_ExtrapolateOpponentTimes__Fi	490	HandlePullOver__13AIHigh_Player;Sim_ProcessPause__Fv;Stats_TrackEndGame__Fv	
REGION-ONLY	800BB2F8		func_800BB2F8	57	Track_Init__FPc	
CHANGED	800BB5B8	800BA808	Track_Init__FPc	291	BWorld_Init__Fv	
CHANGED	800BBA44	800BAC74	Track_DeInit__Fv	55	BWorld_DeInit__Fv	
CHANGED	800BC95C	800BBB84	Audio_InitDriver__Fii	61	RunDemoVideo__14tFEApplication;Init_PSX_FrontEnd__Fv;Nfs2_GameModuleStartUp__FPi;main	
CHANGED	800BEBC4	800BDDD8	Draw_SetViewMemBudget__Fii	11	PSXFront_AllocateDrawMemory__Fv	
CHANGED	800BEC50	800BDE60	AllocatePrimitivesBuffer__Fv	39	Draw_CheckFirstFrameRender__Fv	
CHANGED	800BEDB0	800BE060	Draw_StartRenderingView__Fi	60	Redraw__14tFEApplication;DisplayLoadingText__7tScreen;Render_StartRenderingWorldView__Fi;Render_RenderPauseMenuView__Fv	
CHANGED	800BEFB8	800BE230	Draw_CheckFirstFrameRender__Fv	36	Render_StartFrameRender__Fv	
CHANGED	800BF200	800BE478	Draw_DirectSetEnvironment__Fiiiiiiiiii	69	Quick_DD__Fiii;NFS4_LoadingIcon__Fv;Draw_CheckFirstFrameRender__Fv;Draw_CheckFirstFrameRender__Fv	
CHANGED	800BF370	800BE5D8	Draw_InitRenderEngine__Fiiiiii	47	Render_InitTrackRender__Fv	
CHANGED	800C47E0	800C3A30	DrawC_PrimHalo__FP10matrixtdefP8coorddefP16Transformer_zObjiiiP13Draw_CarCache	301	R3DCar_InsertCarFacetII__FP8Car_tObj;R3DCar_InsertCarFacetMenuII__FP8Car_tObji	
CHANGED	800C7BF4	800C6E38	DrawW_kCtrlWorld_High__FP25Draw_tGiveShelbyMoreCache	26	DrawW_DoTrough__FP13DRender_tViewP11tBuildEntry;DrawW_DoTrough__FP13DRender_tViewP11tBuildEntry;DrawW_DoTrough__FP13DRender_tViewP11tBuildEntry;DrawW_DoTrough__FP13DRender_tViewP11tBuildEntry	
CHANGED	800C7C5C	800C6EB8	DrawW_StripDraw_High__FP25Draw_tGiveShelbyMoreCache	52	DrawW_DoTrough__FP13DRender_tViewP11tBuildEntry;DrawW_DoTrough__FP13DRender_tViewP11tBuildEntry	
CHANGED	800D280C	800D1A80	Hud_CreateHudViews__Fv	187	Render_CreateViews__Fv	
CHANGED	800D2B88	800D1DFC	Hud_DebugInfo__Fv	2	Hud_RenderHudView__Fv;Hud_Render__Fv	
CHANGED	800D5A70	800D4E70	Hud_BuildNumbers__Fi	758	Hud_RenderHudView__Fv	
CHANGED	800D9964	800D8D64	Hud_ParseTime__FiPc	97	RaceSummary__Fv;RaceSummary__Fv;RaceStatistics__Fv;RaceStatistics__Fv	
REGION-ONLY	800DCED0		func_800DCED0	2	Init_Memcard__FbT0;DeInit_Memcard__Fv;SaveGame__Fs;SaveGame__Fs	
REGION-ONLY	800DCED8		func_800DCED8	2		
CHANGED	800DCFA0	800DC378	Platform_SysStartUp__Fv	58	Nfs2_SystemNLibStartUp__Fv	
CHANGED	800E4490	800E3858	Weather_DoSplats__FiP18Weather_tSplatInfo	97	Weather_DoWeather__FP13DRender_tView	
CHANGED	800E4CE0	800E40E8	padinit	27	Init_Memcard__FbT0;DeInit_Memcard__Fv;initjoy	
CHANGED	800E4D4C	800E4158	PAD_restore	17	Init_Memcard__FbT0;DeInit_Memcard__Fv	
CHANGED	800E4D90	800E41AC	PAD_state	20	FEInput_GetNoDebounceKey__Fii;FEInput_GetNoDebounceKey__Fii;DrawCongratsMessage__23tScreenBeTheCopCongrats;Movie_Play__Fc	
CHANGED	800E4DF4	800E4210	PAD_update	63	CalculateDimensions__11tDialogHelp;FEInput_GetNoDebounceKey__Fii;Front_ResetPSXController__Fii;GetPSXPadValue__Fii	
CHANGED	800E5094	800E44BC	sprintf	180	DrawHelpIcons__14tFEApplication;MainLoop__14tFEApplicationP5tMenu;FeAudio_AsyncPlaySpeech__Fii;FeAudio_InitCommentary__Fii	
MERGED-INTO:sprintf	800E5364		func_800E5364	3		
MERGED-INTO:sprintf	800E5370		func_800E5370	11		
MERGED-INTO:sprintf	800E539C		func_800E539C	22		
MERGED-INTO:func_800E539C	800E53F4		func_800E53F4	72		
MERGED-INTO:sprintf	800E5514		func_800E5514	64		
MERGED-INTO:func_800E5514	800E5614		func_800E5614	8		
MERGED-INTO:func_800E5514	800E5634		func_800E5634	66		
MERGED-INTO:func_800E5514	800E573C		func_800E573C	8		
MERGED-INTO:func_800E5514	800E575C		func_800E575C	35		
MERGED-INTO:func_800E5514	800E57E8		func_800E57E8	79		
REGION-ONLY	800EECDC		func_800EECDC	16		
CHANGED	800F09E0	800F0058	PadInfoAct	35		
MERGED-INTO:PadInfoAct	800F0A6C		func_800F0A6C	3		
MERGED-INTO:PadInfoAct	800F0A78		func_800F0A78	3		
MERGED-INTO:PadInfoAct	800F0A84		func_800F0A84	3		
MERGED-INTO:PadInfoAct	800F0A90		func_800F0A90	9		
CHANGED	800F79BC	800F7034	FntPrint	138		
MERGED-INTO:FntPrint	800F7BE4		func_800F7BE4	30		
MERGED-INTO:FntPrint	800F7C5C		func_800F7C5C	8		
MERGED-INTO:FntPrint	800F7C7C		func_800F7C7C	67		
CHANGED	800FA470	800F9AE8	CD_systaskfunc	108		
CHANGED	800FA620	800F9C44	CD_timerfunc	24		
CHANGED	800FA680	800F9CA4	CdReadyHandler	300		
CHANGED	800FB054	800FA678	CD_Read	162	readfile	
CHANGED	800FB804	800FAE2C	MemCardCmd_cb	28		
MERGED-INTO:MemCardCmd_cb	800FB874		func_800FB874	25		
MERGED-INTO:MemCardCmd_cb	800FB8D8		func_800FB8D8	19		
MERGED-INTO:MemCardCmd_cb	800FB924		func_800FB924	69		
REGION-ONLY	801053E4		func_801053E4	4	ResetGraph	
CHANGED	80107A58	80107080	CD_get_intr	266	CD_sync;CD_ready;CD_cw;_cd_intr_dispatch	
MERGED-INTO:CD_get_intr	80107E80		func_80107E80	32		
MERGED-INTO:CD_get_intr	80107F00		func_80107F00	45		
CHANGED	8010B4E8	8010A880	iSNDdmtransfer	129	iSNDdmcallback;iSNDdmservice	
CHANGED	8010D8C8	8010CC40	iSNDsin	2510	iSNDlibatodlrv	
CHANGED	8002C56C	8002C41C	AskTheUserToSaveTheGame__Fv	30		HIDDEN-CHANGED (audit_lo16: 3 non-reloc words differ)
CHANGED	8007BE00	8007B46C	AudioMus_AutoVolume__Fii	48		HIDDEN-CHANGED (audit_lo16: 2 non-reloc words differ)
CHANGED	8007AA48	80079FDC	AudioMus_Buffered__Fv	19		HIDDEN-CHANGED (audit_lo16: 3 non-reloc words differ)
CHANGED	8007B8F4	8007AF60	AudioMus_BuildPattern__FPc	52		HIDDEN-CHANGED (audit_lo16: 2 non-reloc words differ)
CHANGED	8007B86C	8007AED8	AudioMus_BuildPlayList__FiPi	34		HIDDEN-CHANGED (audit_lo16: 1 non-reloc words differ)
CHANGED	8007B6A4	8007AD10	AudioMus_DriverCleanUp__Fv	31		HIDDEN-CHANGED (audit_lo16: 5 non-reloc words differ)
CHANGED	8007B468	8007AAD4	AudioMus_DriverStartUp__Fii	81		HIDDEN-CHANGED (audit_lo16: 10 non-reloc words differ)
CHANGED	8007AA94	8007A028	AudioMus_GetCurrentSong__Fv	47		HIDDEN-CHANGED (audit_lo16: 7 non-reloc words differ)
CHANGED	8007B214	8007A880	AudioMus_GetSongList__FPci	117		HIDDEN-CHANGED (audit_lo16: 3 non-reloc words differ)
CHANGED	8007B40C	8007AA78	AudioMus_InitDriverGlobals__Fv	23		HIDDEN-CHANGED (audit_lo16: 8 non-reloc words differ)
CHANGED	8007B3E8	8007AA54	AudioMus_InitGlobals__Fv	9		HIDDEN-CHANGED (audit_lo16: 5 non-reloc words differ)
CHANGED	8007A960	80079EF4	AudioMus_RefreshStatus__Fv	25		HIDDEN-CHANGED (audit_lo16: 6 non-reloc words differ)
CHANGED	8007AE0C	8007A390	AudioMus_SetCurrentSongInfo__Fv	16		HIDDEN-CHANGED (audit_lo16: 6 non-reloc words differ)
CHANGED	8007B798	8007AE04	AudioMus_StopSong__Fi	53		HIDDEN-CHANGED (audit_lo16: 7 non-reloc words differ)
CHANGED	8007AB50	8007A0E4	AudioMus_SwitchSong__Fv	62		HIDDEN-CHANGED (audit_lo16: 7 non-reloc words differ)
CHANGED	8007B720	8007AD8C	AudioMus_SysCleanUp__Fv	30		HIDDEN-CHANGED (audit_lo16: 2 non-reloc words differ)
CHANGED	8007B5AC	8007AC18	AudioMus_SysStartUp__FiiPc	62		HIDDEN-CHANGED (audit_lo16: 5 non-reloc words differ)
CHANGED	8007A9C4	80079F58	AudioMus_Threshold__Fv	33		HIDDEN-CHANGED (audit_lo16: 6 non-reloc words differ)
CHANGED	8007BC44	8007B2B0	AudioMus_Volume__Fi	111		HIDDEN-CHANGED (audit_lo16: 7 non-reloc words differ)
CHANGED	80019B94	800199D4	CalculateDimensions__12tDialogYesNo	46		HIDDEN-CHANGED (audit_lo16: 1 non-reloc words differ)
CHANGED	800195D8	80019418	CalculateDimensions__20tDialogMessageString	133		HIDDEN-CHANGED (audit_lo16: 1 non-reloc words differ)
CHANGED	80086244	8008581C	Camera_NextMode__Fi	237		HIDDEN-CHANGED (audit_lo16: 1 non-reloc words differ)
CHANGED	80086030	80085608	Camera_SetMode__Fii	133		HIDDEN-CHANGED (audit_lo16: 1 non-reloc words differ)
CHANGED	80034638	80034438	Confirm__Fii	109		HIDDEN-CHANGED (audit_lo16: 2 non-reloc words differ)
CHANGED	80037C20	800379C0	DrawBackground__11tScreenMain	822		HIDDEN-CHANGED (audit_lo16: 1 non-reloc words differ)
CHANGED	80046330	80045ED8	DrawBackground__12tScreenAudio	154		HIDDEN-CHANGED (audit_lo16: 2 non-reloc words differ)
CHANGED	800478C8	80047470	DrawBackground__14tScreenMemcard	410		HIDDEN-CHANGED (audit_lo16: 2 non-reloc words differ)
CHANGED	8004862C	8004813C	DrawBackground__15tScreenCongrats	541		HIDDEN-CHANGED (audit_lo16: 6 non-reloc words differ)
CHANGED	8004B704	8004B1AC	DrawBackground__15tScreenUserName	394		HIDDEN-CHANGED (audit_lo16: 6 non-reloc words differ)
CHANGED	80041580	80041138	DrawBackground__17tScreenTrophyInfo	298		HIDDEN-CHANGED (audit_lo16: 8 non-reloc words differ)
CHANGED	80040F60	80040B18	DrawBackground__17tScreenTrophyRoom	261		HIDDEN-CHANGED (audit_lo16: 4 non-reloc words differ)
