start_record	end_record	start_va	end_va	start_line	end_line	function	function_va	match_status	disposition
0x03282e	0x03287c	0x800590b4	0x80059410	1	46	AI_CalcMeritsBasedOnSpeed__FP8Car_tObj	0x800590b4	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032904	0x0329cc	0x80059434	0x80059674	1	60	AI_CheckForClearLanes__FP8Car_tObj	0x80059434	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032abd	0x032aee	0x800596c8	0x800596c8	29	29	AI_CalcBestLineMerits__FP8Car_tObj	0x800596a4	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032a75	0x032af7	0x800596c8	0x800596c8	29	29	AI_CalcBestLineMerits__FP8Car_tObj	0x800596a4	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032a54	0x032b00	0x800596a4	0x8005971c	1	35	AI_CalcBestLineMerits__FP8Car_tObj	0x800596a4	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032c3c	0x032c45	0x8005972c	0x8005972c	1	1	AI_AddCollidableObjects__FP8Car_tObjP5Group	0x8005972c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032c19	0x032c4e	0x8005972c	0x8005972c	1	1	AI_AddCollidableObjects__FP8Car_tObjP5Group	0x8005972c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032ca6	0x032d35	0x800597e8	0x800598fc	26	42	AI_AddCollidableObjects__FP8Car_tObjP5Group	0x8005972c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032c9d	0x032d3e	0x8005978c	0x800598fc	17	42	AI_AddCollidableObjects__FP8Car_tObjP5Group	0x8005972c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032c79	0x032d47	0x80059778	0x800598fc	14	42	AI_AddCollidableObjects__FP8Car_tObjP5Group	0x8005972c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032c57	0x032d50	0x80059770	0x80059908	14	44	AI_AddCollidableObjects__FP8Car_tObjP5Group	0x8005972c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032bb3	0x032d59	0x8005972c	0x80059908	1	44	AI_AddCollidableObjects__FP8Car_tObjP5Group	0x8005972c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032ddb	0x032de4	0x80059928	0x8005994c	1	5	AI_AvoidObjects__FP8Car_tObj	0x80059928	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032ebd	0x032ec6	0x80059984	0x800599d4	7	13	AI_AvoidSpikeBelt__FP8Car_tObj	0x8005995c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032eb4	0x032ecf	0x8005995c	0x800599d4	1	13	AI_AvoidSpikeBelt__FP8Car_tObj	0x8005995c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032e68	0x032ed8	0x8005995c	0x800599d4	1	13	AI_AvoidSpikeBelt__FP8Car_tObj	0x8005995c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x033043	0x033081	0x80059af0	0x80059b30	24	32	AI_SubmitObstacle__FP8Car_tObjiiii	0x800599e4	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x03303a	0x03308a	0x80059ac0	0x80059b30	23	32	AI_SubmitObstacle__FP8Car_tObjiiii	0x800599e4	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x032fd9	0x033093	0x800599e4	0x80059b68	1	37	AI_SubmitObstacle__FP8Car_tObjiiii	0x800599e4	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x033152	0x03315b	0x80059bf0	0x80059c7c	9	17	AI_HandleTrafficHonking__FP8Car_tObj	0x80059b88	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x033149	0x033164	0x80059b88	0x80059c7c	1	17	AI_HandleTrafficHonking__FP8Car_tObj	0x80059b88	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x03311d	0x03316d	0x80059b88	0x80059c7c	1	17	AI_HandleTrafficHonking__FP8Car_tObj	0x80059b88	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0331f5	0x033266	0x80059c8c	0x80059db0	1	31	AI_CheckForCarsOnSide__FP8Car_tObj	0x80059c8c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0332fc	0x033305	0x80059ddc	0x80059ddc	1	1	AI_ProcessObservationsAndChooseLane__FP8Car_tObj	0x80059ddc	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x033389	0x0333a4	0x80059e20	0x80059ea4	1	29	AI_ChooseBestLane__FP8Car_tObj	0x80059e20	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x033437	0x03351b	0x80059eac	0x8005a048	1	144	AI_CheckPreferredLateralPosition__FP8Car_tObj	0x80059eac	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0335c3	0x03365e	0x8005a060	0x8005a154	1	49	AI_TryToShareLanes__FP8Car_tObjT0	0x8005a060	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0336ef	0x03372c	0x8005a15c	0x8005a374	1	70	AI_CalculateDesiredLatPosition__FP8Car_tObj	0x8005a15c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0337bf	0x033854	0x8005a390	0x8005a608	1	69	AI_CalculateAdjustedDesiredSpeed__FP8Car_tObj	0x8005a390	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0338ea	0x03392f	0x8005a628	0x8005a6fc	1	20	AI_IsMellowZone__FP8Car_tObji	0x8005a628	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0339b3	0x0339bc	0x8005a718	0x8005a718	1	26	AI_KeepCarsInLane__FP8Car_tObj	0x8005a714	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x033a5a	0x033aa2	0x8005a7c0	0x8005a8b0	4	28	AI_PushFinishedCarsToSide__FP8Car_tObj	0x8005a724	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x033a51	0x033aab	0x8005a724	0x8005a8b0	1	28	AI_PushFinishedCarsToSide__FP8Car_tObj	0x8005a724	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x033a48	0x033ab4	0x8005a724	0x8005a8b0	1	28	AI_PushFinishedCarsToSide__FP8Car_tObj	0x8005a724	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x033b3e	0x033b74	0x8005a8c0	0x8005a9cc	1	23	AI_MaybeChangeLaneSlack__FP8Car_tObj	0x8005a8c0	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x033bfc	0x033c05	0x8005a9dc	0x8005a9dc	1	4	AI_ChooseNewLaneSlack__FP8Car_tObj	0x8005a9dc	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x03c6b9	0x03c6c2	0x8005aa28	0x8005aa28	1	1	__10AIDelayCarP8Car_tObjT1i	0x8005aa28	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x03c779	0x03c782	0x8005aa5c	0x8005aa5c	1	1	SetNewTargetCar__10AIDelayCarP8Car_tObj	0x8005aa5c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x03c804	0x03c88c	0x8005ab44	0x8005abfc	1	7	Update__10AIDelayCar	0x8005ab44	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049a09	0x049a12	0x8005aea0	0x8005aea0	19	19	AIHigh_StartUp__Fv	0x8005ad94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0499e1	0x049a1b	0x8005aea0	0x8005aea0	19	19	AIHigh_StartUp__Fv	0x8005ad94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049a24	0x049a2d	0x8005aea0	0x8005aea0	19	19	AIHigh_StartUp__Fv	0x8005ad94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0499b9	0x049a36	0x8005aea0	0x8005aea0	19	19	AIHigh_StartUp__Fv	0x8005ad94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049a67	0x049a70	0x8005af54	0x8005af54	19	19	AIHigh_StartUp__Fv	0x8005ad94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049a3f	0x049a79	0x8005af54	0x8005af78	19	19	AIHigh_StartUp__Fv	0x8005ad94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049991	0x049a82	0x8005ae3c	0x8005af94	10	21	AIHigh_StartUp__Fv	0x8005ad94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049988	0x049a8b	0x8005ae30	0x8005afa0	10	22	AIHigh_StartUp__Fv	0x8005ad94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x04997f	0x049a94	0x8005ae30	0x8005afdc	9	29	AIHigh_StartUp__Fv	0x8005ad94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049aff	0x049b08	0x8005b0c8	0x8005b0c8	42	42	AIHigh_StartUp__Fv	0x8005ad94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049ad7	0x049b11	0x8005b0c8	0x8005b0e8	42	42	AIHigh_StartUp__Fv	0x8005ad94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049aaf	0x049b1a	0x8005b004	0x8005b0e8	34	42	AIHigh_StartUp__Fv	0x8005ad94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049aa6	0x049b23	0x8005afe8	0x8005b0fc	34	44	AIHigh_StartUp__Fv	0x8005ad94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049a9d	0x049b2c	0x8005afe8	0x8005b114	33	48	AIHigh_StartUp__Fv	0x8005ad94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049976	0x049b35	0x8005ad94	0x8005b114	1	48	AIHigh_StartUp__Fv	0x8005ad94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049923	0x049b3e	0x8005ad94	0x8005b114	1	48	AIHigh_StartUp__Fv	0x8005ad94	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049b9c	0x049ba5	0x8005b13c	0x8005b13c	1	1	AIHigh_Restart1__Fv	0x8005b13c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049c03	0x049c0c	0x8005b15c	0x8005b15c	1	1	AIHigh_Restart2__Fv	0x8005b15c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049c72	0x049c90	0x8005b184	0x8005b1f4	1	9	AIHigh_CleanUp__Fv	0x8005b184	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049c69	0x049c99	0x8005b184	0x8005b1f4	1	10	AIHigh_CleanUp__Fv	0x8005b184	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049d69	0x049d72	0x8005b264	0x8005b264	9	9	AIHigh_Execute__Fv	0x8005b210	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049d60	0x049d7b	0x8005b264	0x8005b264	9	9	AIHigh_Execute__Fv	0x8005b210	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049d57	0x049d84	0x8005b264	0x8005b2ec	9	12	AIHigh_Execute__Fv	0x8005b210	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049d4e	0x049d8d	0x8005b264	0x8005b2ec	8	12	AIHigh_Execute__Fv	0x8005b210	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049d45	0x049d96	0x8005b254	0x8005b2ec	5	12	AIHigh_Execute__Fv	0x8005b210	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049d1d	0x049d9f	0x8005b23c	0x8005b2ec	3	12	AIHigh_Execute__Fv	0x8005b210	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049cff	0x049da8	0x8005b210	0x8005b2fc	1	15	AIHigh_Execute__Fv	0x8005b210	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049cf6	0x049db1	0x8005b210	0x8005b2fc	1	15	AIHigh_Execute__Fv	0x8005b210	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049e66	0x049e6f	0x8005b318	0x8005b318	1	1	__11AIHigh_BaseP8Car_tObj	0x8005b318	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049e5d	0x049e78	0x8005b318	0x8005b318	1	1	__11AIHigh_BaseP8Car_tObj	0x8005b318	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049eaa	0x049eb3	0x8005b318	0x8005b394	1	5	__11AIHigh_BaseP8Car_tObj	0x8005b318	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049e81	0x049ebc	0x8005b318	0x8005b394	1	5	__11AIHigh_BaseP8Car_tObj	0x8005b318	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049eee	0x049ef7	0x8005b394	0x8005b394	5	5	__11AIHigh_BaseP8Car_tObj	0x8005b318	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049ec5	0x049f00	0x8005b394	0x8005b394	5	5	__11AIHigh_BaseP8Car_tObj	0x8005b318	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049e54	0x049f09	0x8005b318	0x8005b394	1	5	__11AIHigh_BaseP8Car_tObj	0x8005b318	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x049f9b	0x049fa4	0x8005b3c4	0x8005b410	1	5	_._11AIHigh_Base	0x8005b3c4	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x04a06a	0x04a073	0x8005b438	0x8005b438	1	1	_._15AIHigh_BTC_Perp	0x8005b438	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x04a03c	0x04a07c	0x8005b438	0x8005b438	1	1	_._15AIHigh_BTC_Perp	0x8005b438	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x04a0ff	0x04a108	0x8005b460	0x8005b460	1	1	HighExecute__11AIHigh_None	0x8005b460	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x04a211	0x04a21a	0x8005b488	0x8005b488	1	1	Execute__12AIState_None	0x8005b488	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x04a2ad	0x04a2d7	0x8005b490	0x8005b490	1	1	_._12AIState_None	0x8005b490	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x04a2e9	0x04a2f2	0x8005b490	0x8005b490	1	1	_._12AIState_None	0x8005b490	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x04a2e0	0x04a2fb	0x8005b490	0x8005b4b4	1	1	_._12AIState_None	0x8005b490	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x04a384	0x04a38d	0x8005b4c4	0x8005b4c4	1	1	TestForRelease__12AIState_Base	0x8005b4c4	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x04a420	0x04a429	0x8005b4cc	0x8005b4cc	1	1	_._12AIState_Base	0x8005b4cc	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0594b6	0x0594bf	0x8005b500	0x8005b500	1	1	CheckForCrimes__16AIHigh_BasicPerp	0x8005b500	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0594ad	0x0594c8	0x8005b500	0x8005b500	1	1	CheckForCrimes__16AIHigh_BasicPerp	0x8005b500	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x059563	0x05956c	0x8005b768	0x8005b768	86	86	CheckForCrimes__16AIHigh_BasicPerp	0x8005b500	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x05953b	0x059575	0x8005b768	0x8005b768	86	86	CheckForCrimes__16AIHigh_BasicPerp	0x8005b500	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x059532	0x05957e	0x8005b768	0x8005b768	86	86	CheckForCrimes__16AIHigh_BasicPerp	0x8005b500	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x059529	0x059587	0x8005b73c	0x8005b768	85	86	CheckForCrimes__16AIHigh_BasicPerp	0x8005b500	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x059501	0x059590	0x8005b730	0x8005b768	83	86	CheckForCrimes__16AIHigh_BasicPerp	0x8005b500	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0594f8	0x059599	0x8005b720	0x8005b774	83	91	CheckForCrimes__16AIHigh_BasicPerp	0x8005b500	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0594da	0x0595a2	0x8005b720	0x8005b774	79	91	CheckForCrimes__16AIHigh_BasicPerp	0x8005b500	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0594d1	0x0595ab	0x8005b718	0x8005b774	78	91	CheckForCrimes__16AIHigh_BasicPerp	0x8005b500	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x05944b	0x0595b4	0x8005b500	0x8005b774	1	93	CheckForCrimes__16AIHigh_BasicPerp	0x8005b500	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0596a9	0x0596b2	0x8005b7f8	0x8005b7f8	14	14	CheckIfCaught__16AIHigh_BasicPerp	0x8005b78c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0596a0	0x0596bb	0x8005b7f8	0x8005b7f8	14	14	CheckIfCaught__16AIHigh_BasicPerp	0x8005b78c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x059697	0x0596c4	0x8005b7f8	0x8005b808	14	15	CheckIfCaught__16AIHigh_BasicPerp	0x8005b78c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0597c7	0x0597f5	0x8005bbec	0x8005bcb8	82	86	CheckIfCaught__16AIHigh_BasicPerp	0x8005b78c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0597be	0x0597fe	0x8005bb80	0x8005bcb8	78	86	CheckIfCaught__16AIHigh_BasicPerp	0x8005b78c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x059791	0x059807	0x8005bb80	0x8005bd40	76	104	CheckIfCaught__16AIHigh_BasicPerp	0x8005b78c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x059788	0x059810	0x8005bb58	0x8005bd40	75	104	CheckIfCaught__16AIHigh_BasicPerp	0x8005b78c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x059746	0x059819	0x8005ba88	0x8005bd40	67	104	CheckIfCaught__16AIHigh_BasicPerp	0x8005b78c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x05973d	0x059822	0x8005b9b8	0x8005bd40	57	104	CheckIfCaught__16AIHigh_BasicPerp	0x8005b78c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0596eb	0x05982b	0x8005b880	0x8005bd40	30	104	CheckIfCaught__16AIHigh_BasicPerp	0x8005b78c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x0596cd	0x059834	0x8005b864	0x8005bd48	27	109	CheckIfCaught__16AIHigh_BasicPerp	0x8005b78c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
0x05964c	0x05983d	0x8005b78c	0x8005bd4c	1	110	CheckIfCaught__16AIHigh_BasicPerp	0x8005b78c	PASS	STRUCTURE_PAIRED_SOURCE_BRACES_REVIEW
